0x0022 \textquotedbl
0x0154 \'R
0x0155 \'r
0x0156 \c{R}
0x0157 \c{r}
0x0158 \v{R}
0x0159 \v{r}
0x015a \'S
0x015b \'s
0x015c \^S
0x015d \^s
0x015e \c{S}
0x015f \c{s}
0x0160 \v{S}
0x0161 \v{s}
0x0162 \c{T}
0x0163 \c{t}
0x0164 \v{T}
0x0165 \v{t}
0x0166 \B{T}
0x0167 \B{t}
0x0168 \~U
0x0169 \~u
0x016a \=U
0x016b \=u
0x016c \u{U}
0x016d \u{u}
0x016e \r{U}
0x016f \r{u}
0x0170 \H{U}
0x0171 \H{u}
0x0172 \k{U}
0x0173 \k{u}
0x0174 \^W
0x0175 \^w
0x0176 \^Y
0x0177 \^y
0x0178 \"Y
0x0179 \'Z
0x017a \'z
0x017b \.Z
0x017c \.z
0x017d \v{Z}
0x017e \v{z}
0x0192 \textflorin
0x0195 \texthvlig
0x019e \textnrleg
0x01a0 \OHORN
0x01a1 \ohorn
0x01af \UHORN
0x01b0 \uhorn
0x01c2 \textdoublepipe
0x01cd \v{A}
0x01ce \v{a}
0x01cf \v{I}
0x01d0 \v{\i}
0x01d1 \v{O}
0x01d2 \v{o}
0x01d3 \v{U}
0x01d4 \v{u}
0x01d5 \={\"{U}}
0x01d6 \={\"{u}}
0x01d7 \'{\"{U}}
0x01d8 \'{\"{u}}
0x01d9 \v{\"{U}}
0x01da \v{\"{u}}
0x01db \`{\"{U}}
0x01dc \`{\"{u}}
0x01de \={\"{A}}
0x01df \={\"{a}}
0x01e0 \={\.{A}}
0x01e1 \={\.{a}}
0x01e2 \={\AE}
0x01e3 \={\ae}
0x01e6 \v{G}
0x01e7 \v{g}
0x01e8 \v{K}
0x01e9 \v{k}
0x01ea \k{O}
0x01eb \k{o}
0x01ec \={\k{O}}
0x01ed \={\k{o}}
0x01f0 \v{\j}
0x01f4 \'G
0x01f5 \'g
0x01f8 \`N
0x01f9 \`n
0x01fa \'{\AA}
0x01fb \'{\aa}
0x01fc \'{\AE}
0x01fd \'{\ae}
0x01fe \'{\O}
0x01ff \'{\o}
0x0200 \G{A}
0x0201 \G{a}
0x0202 \textroundcap{A}
0x0203 \textroundcap{a}
0x0204 \G{E}
0x0205 \G{e}
0x0206 \textroundcap{E}
0x0207 \textroundcap{e}
0x0208 \G{I}
0x0209 \G{\i}
0x020a \textroundcap{I}
0x020b \textroundcap{\i}
0x020c \G{O}
0x020d \G{o}
0x020e \textroundcap{O}
0x020f \textroundcap{o}
0x0210 \G{R}
0x0211 \G{r}
0x0212 \textroundcap{R}
0x0213 \textroundcap{r}
0x0214 \G{U}
0x0215 \G{u}
0x0216 \textroundcap{U}
0x0217 \textroundcap{u}
0x0218 \cb{S}
0x0219 \cb{s}
0x021a \cb{T}
0x021b \cb{t}
0x021e \v{H}
0x021f \v{h}
0x0226 \.A
0x0227 \.a
0x0228 \c{E}
0x0229 \c{e}
0x022a \={\"{O}}
0x022b \={\"{o}}
0x022c \={\~{O}}
0x022d \={\~{o}}
0x022e \.O
0x022f \.o
0x0230 \={\.{O}}
0x0231 \={\.{o}}
0x0232 \=Y
0x0233 \=y
0x0237 \j
0x02bc '
0x02c6 \^{}
0x02c7 \v{}
0x02c8 \|{}
0x02c9 \={}
0x02ca \'{}
0x02cb \`{}
0x02cc \textsyllabic{}
0x02cd \b{}
0x02d8 \u{}
0x02d9 \.{}
0x02da \r{}
0x02db \k{}
0x02dc \~{}
0x02dd \H{}
0x0300 \`{}
0x0301 \'{}
0x0302 \^{}
0x0303 \~{}
0x0304 \={}
0x0305 \ensuremath{\overline{}}
0x0306 \u{}
0x0307 \.{}
0x0308 \"{}
0x0309 \h{}
0x030a \r{}
0x030b \H{}
0x030c \v{}
0x030d \|{}
0x030e \U{}
0x030f \G{}
0x0311 \textroundcap{}
0x0323 \d{}
0x0324 \textsubumlaut{}
0x0325 \textsubring{}
0x0326 \cb{}
0x0327 \c{}
0x0328 \k{}
0x0329 \textsyllabic{}
0x032d \textsubcircum{}
0x032e \textsubbreve{}
0x0330 \textsubtilde{}
0x0331 \b{}
0x0340 \`{}
0x0341 \'{}
0x0344 \'{\"{}}
0x037e ;
0x0384 \textgreek{'}
0x0385 \textgreek{"'}
0x0386 \textgreek{'A}
0x0387 \textgreek{.}
0x0388 \textgreek{'E}
0x0389 \textgreek{'H}
0x038a \textgreek{'I}
0x038c \textgreek{'O}
0x038e \textgreek{'Y}
0x038f \textgreek{'W}
0x0390 \textgreek{"'i}
0x0391 \textgreek{A}
0x0392 \textgreek{B}
0x0393 \textgreek{G}
0x0394 \textgreek{D}
0x0395 \textgreek{E}
0x0396 \textgreek{Z}
0x0397 \textgreek{H}
0x0398 \textgreek{J}
0x0399 \textgreek{I}
0x039a \textgreek{K}
0x039b \textgreek{L}
0x039c \textgreek{M}
0x039d \textgreek{N}
0x039e \textgreek{X}
0x039f \textgreek{O}
0x03a0 \textgreek{P}
0x03a1 \textgreek{R}
0x03a3 \textgreek{S}
0x03a4 \textgreek{T}
0x03a5 \textgreek{U}
0x03a6 \textgreek{F}
0x03a7 \textgreek{Q}
0x03a8 \textgreek{Y}
0x03a9 \textgreek{W}
0x03aa \textgreek{"I}
0x03ab \textgreek{"U}
0x03ac \textgreek{'a}
0x03ad \textgreek{'e}
0x03ae \textgreek{'h}
0x03af \textgreek{'i}
0x03b0 \textgreek{"'u}
0x03b1 \textgreek{a}
0x03b2 \textgreek{b}
0x03b3 \textgreek{g}
0x03b4 \textgreek{d}
0x03b5 \textgreek{e}
0x03b6 \textgreek{z}
0x03b7 \textgreek{h}
0x03b8 \textgreek{j}
0x03b9 \textgreek{i}
0x03ba \textgreek{k}
0x03bb \textgreek{l}
0x03bc \textgreek{m}
0x03bd \textgreek{n}
0x03be \textgreek{x}
0x03bf \textgreek{o}
0x03c0 \textgreek{p}
0x03c1 \textgreek{r}
0x03c2 \textgreek{c}
0x03c3 \textgreek{s}
0x03c4 \textgreek{t}
0x03c5 \textgreek{u}
0x03c6 \textgreek{f}
0x03c7 \textgreek{q}
0x03c8 \textgreek{y}
0x03c9 \textgreek{w}
0x03ca \textgreek{"i}
0x03cb \textgreek{"u}
0x03cc \textgreek{'o}
0x03cd \textgreek{'u}
0x03ce \textgreek{'w}
0x03d1 \ensuremath{\vartheta}
0x03d4 \textgreek{"\ensuremath{\Upsilon}}
0x03d5 \ensuremath{\phi}
0x03d6 \ensuremath{\varpi}
0x03d8 \textgreek{\Koppa}
0x03d9 \textgreek{\coppa}
0x03da \textgreek{\Stigma}
0x03db \textgreek{\stigma}
0x03dc \textgreek{\Digamma}
0x03dd \textgreek{\digamma}
0x03df \textgreek{\koppa}
0x03e0 \textgreek{\Sampi}
0x03e1 \textgreek{\sampi}
0x03f0 \ensuremath{\varkappa}
0x03f1 \ensuremath{\varrho}
0x03f4 \ensuremath{\Theta}
0x03f5 \ensuremath{\epsilon}
0x03f6 \ensuremath{\backepsilon}
0x1e00 \textsubring{A}
0x1e01 \textsubring{a}
0x1e02 \.B
0x1e03 \.b
0x1e04 \d{B}
0x1e05 \d{b}
0x1e06 \b{B}
0x1e07 \b{b}
0x1e08 \'{\c{C}}
0x1e09 \'{\c{c}}
0x1e0a \.D
0x1e0b \.d
0x1e0c \d{D}
0x1e0d \d{d}
0x1e0e \b{D}
0x1e0f \b{d}
0x1e10 \c{D}
0x1e11 \c{d}
0x1e12 \textsubcircum{D}
0x1e13 \textsubcircum{d}
0x1e14 \`{\={E}}
0x1e15 \`{\={e}}
0x1e16 \'{\={E}}
0x1e17 \'{\={e}}
0x1e18 \textsubcircum{E}
0x1e19 \textsubcircum{e}
0x1e1a \textsubtilde{E}
0x1e1b \textsubtilde{e}
0x1e1c \u{\c{E}}
0x1e1d \u{\c{e}}
0x1e1e \.F
0x1e1f \.f
0x1e20 \=G
0x1e21 \=g
0x1e22 \.H
0x1e23 \.h
0x1e24 \d{H}
0x1e25 \d{h}
0x1e26 \"H
0x1e27 \"h
0x1e28 \c{H}
0x1e29 \c{h}
0x1e2a \textsubbreve{H}
0x1e2b \textsubbreve{h}
0x1e2c \textsubtilde{I}
0x1e2d \textsubtilde{i}
0x1e2e \'{\"{I}}
0x1e2f \'{\"{\i}}
0x1e30 \'K
0x1e31 \'k
0x1e32 \d{K}
0x1e33 \d{k}
0x1e34 \b{K}
0x1e35 \b{k}
0x1e36 \d{L}
0x1e37 \d{l}
0x1e38 \={\d{L}}
0x1e39 \={\d{l}}
0x1e3a \b{L}
0x1e3b \b{l}
0x1e3c \textsubcircum{L}
0x1e3d \textsubcircum{l}
0x1e3e \'M
0x1e3f \'m
0x1e40 \.M
0x1e41 \.m
0x1e42 \d{M}
0x1e43 \d{m}
0x1e44 \.N
0x1e45 \.n
0x1e46 \d{N}
0x1e47 \d{n}
0x1e48 \b{N}
0x1e49 \b{n}
0x1e4a \textsubcircum{N}
0x1e4b \textsubcircum{n}
0x1e4c \'{\~{O}}
0x1e4d \'{\~{o}}
0x1e4e \"{\~{O}}
0x1e4f \"{\~{o}}
0x1e50 \`{\={O}}
0x1e51 \`{\={o}}
0x1e52 \'{\={O}}
0x1e53 \'{\={o}}
0x1e54 \'P
0x1e55 \'p
0x1e56 \.P
0x1e57 \.p
0x1e58 \.R
0x1e59 \.r
0x1e5a \d{R}
0x1e5b \d{r}
0x1e5c \={\d{R}}
0x1e5d \={\d{r}}
0x1e5e \b{R}
0x1e5f \b{r}
0x1e60 \.S
0x1e61 \.s
0x1e62 \d{S}
0x1e63 \d{s}
0x1e64 \.{\'{S}}
0x1e65 \.{\'{s}}
0x1e66 \.{\v{S}}
0x1e67 \.{\v{s}}
0x1e68 \.{\d{S}}
0x1e69 \.{\d{s}}
0x1e6a \.T
0x1e6b \.t
0x1e6c \d{T}
0x1e6d \d{t}
0x1e6e \b{T}
0x1e6f \b{t}
0x1e70 \textsubcircum{T}
0x1e71 \textsubcircum{t}
0x1e72 \textsubumlaut{U}
0x1e73 \textsubumlaut{u}
0x1e74 \textsubtilde{U}
0x1e75 \textsubtilde{u}
0x1e76 \textsubcircum{U}
0x1e77 \textsubcircum{u}
0x1e78 \'{\~{U}}
0x1e79 \'{\~{u}}
0x1e7a \"{\={U}}
0x1e7b \"{\={u}}
0x1e7c \~V
0x1e7d \~v
0x1e7e \d{V}
0x1e7f \d{v}
0x1e80 \`W
0x1e81 \`w
0x1e82 \'W
0x1e83 \'w
0x1e84 \"W
0x1e85 \"w
0x1e86 \.W
0x1e87 \.w
0x1e88 \d{W}
0x1e89 \d{w}
0x1e8a \.X
0x1e8b \.x
0x1e8c \"X
0x1e8d \"x
0x1e8e \.Y
0x1e8f \.y
0x1e90 \^Z
0x1e91 \^z
0x1e92 \d{Z}
0x1e93 \d{z}
0x1e94 \b{Z}
0x1e95 \b{z}
0x1e96 \b{h}
0x1e97 \"t
0x1e98 \r{w}
0x1e99 \r{y}
0x1ea0 \d{A}
0x1ea1 \d{a}
0x1ea2 \h{A}
0x1ea3 \h{a}
0x1ea4 \'{\^{A}}
0x1ea5 \'{\^{a}}
0x1ea6 \`{\^{A}}
0x1ea7 \`{\^{a}}
0x1ea8 \h{\^{A}}
0x1ea9 \h{\^{a}}
0x1eaa \~{\^{A}}
0x1eab \~{\^{a}}
0x1eac \^{\d{A}}
0x1ead \^{\d{a}}
0x1eae \'{\u{A}}
0x1eaf \'{\u{a}}
0x1eb0 \`{\u{A}}
0x1eb1 \`{\u{a}}
0x1eb2 \h{\u{A}}
0x1eb3 \h{\u{a}}
0x1eb4 \~{\u{A}}
0x1eb5 \~{\u{a}}
0x1eb6 \u{\d{A}}
0x1eb7 \u{\d{a}}
0x1eb8 \d{E}
0x1eb9 \d{e}
0x1eba \h{E}
0x1ebb \h{e}
0x1ebc \~E
0x1ebd \~e
0x1ebe \'{\^{E}}
0x1ebf \'{\^{e}}
0x1ec0 \`{\^{E}}
0x1ec1 \`{\^{e}}
0x1ec2 \h{\^{E}}
0x1ec3 \h{\^{e}}
0x1ec4 \~{\^{E}}
0x1ec5 \~{\^{e}}
0x1ec6 \^{\d{E}}
0x1ec7 \^{\d{e}}
0x1ec8 \h{I}
0x1ec9 \h{\i}
0x1eca \d{I}
0x1ecb \d{i}
0x1ecc \d{O}
0x1ecd \d{o}
0x1ece \h{O}
0x1ecf \h{o}
0x1ed0 \'{\^{O}}
0x1ed1 \'{\^{o}}
0x1ed2 \`{\^{O}}
0x1ed3 \`{\^{o}}
0x1ed4 \h{\^{O}}
0x1ed5 \h{\^{o}}
0x1ed6 \~{\^{O}}
0x1ed7 \~{\^{o}}
0x1ed8 \^{\d{O}}
0x1ed9 \^{\d{o}}
0x1eda \'{\OHORN}
0x1edb \'{\ohorn}
0x1edc \`{\OHORN}
0x1edd \`{\ohorn}
0x1ede \h{\OHORN}
0x1edf \h{\ohorn}
0x1ee0 \~{\OHORN}
0x1ee1 \~{\ohorn}
0x1ee2 \d{\OHORN}
0x1ee3 \d{\ohorn}
0x1ee4 \d{U}
0x1ee5 \d{u}
0x1ee6 \h{U}
0x1ee7 \h{u}
0x1ee8 \'{\UHORN}
0x1ee9 \'{\uhorn}
0x1eea \`{\UHORN}
0x1eeb \`{\uhorn}
0x1eec \h{\UHORN}
0x1eed \h{\uhorn}
0x1eee \~{\UHORN}
0x1eef \~{\uhorn}
0x1ef0 \d{\UHORN}
0x1ef1 \d{\uhorn}
0x1ef2 \`Y
0x1ef3 \`y
0x1ef4 \d{Y}
0x1ef5 \d{y}
0x1ef6 \h{Y}
0x1ef7 \h{y}
0x1ef8 \~Y
0x1ef9 \~y
0x1f00 \textgreek{>a}
0x1f01 \textgreek{<a}
0x1f02 \textgreek{`>a}
0x1f03 \textgreek{`<a}
0x1f04 \textgreek{'>a}
0x1f05 \textgreek{'<a}
0x1f06 \textgreek{\~{>a}}
0x1f07 \textgreek{\~{<a}}
0x1f08 \textgreek{>A}
0x1f09 \textgreek{<A}
0x1f0a \textgreek{`>A}
0x1f0b \textgreek{`<A}
0x1f0c \textgreek{'>A}
0x1f0d \textgreek{'<A}
0x1f0e \textgreek{\~{>A}}
0x1f0f \textgreek{\~{<A}}
0x1f10 \textgreek{>e}
0x1f11 \textgreek{<e}
0x1f12 \textgreek{`>e}
0x1f13 \textgreek{`<e}
0x1f14 \textgreek{'>e}
0x1f15 \textgreek{'<e}
0x1f18 \textgreek{>E}
0x1f19 \textgreek{<E}
0x1f1a \textgreek{`>E}
0x1f1b \textgreek{`<E}
0x1f1c \textgreek{'>E}
0x1f1d \textgreek{'<E}
0x1f20 \textgreek{>h}
0x1f21 \textgreek{<h}
0x1f22 \textgreek{`>h}
0x1f23 \textgreek{`<h}
0x1f24 \textgreek{'>h}
0x1f25 \textgreek{'<h}
0x1f26 \textgreek{\~{>h}}
0x1f27 \textgreek{\~{<h}}
0x1f28 \textgreek{>H}
0x1f29 \textgreek{<H}
0x1f2a \textgreek{`>H}
0x1f2b \textgreek{`<H}
0x1f2c \textgreek{'>H}
0x1f2d \textgreek{'<H}
0x1f2e \textgreek{\~{>H}}
0x1f2f \textgreek{\~{<H}}
0x1f30 \textgreek{>i}
0x1f31 \textgreek{<i}
0x1f32 \textgreek{`>i}
0x1f33 \textgreek{`<i}
0x1f34 \textgreek{'>i}
0x1f35 \textgreek{'<i}
0x1f36 \textgreek{\~{>i}}
0x1f37 \textgreek{\~{<i}}
0x1f38 \textgreek{>I}
0x1f39 \textgreek{<I}
0x1f3a \textgreek{`>I}
0x1f3b \textgreek{`<I}
0x1f3c \textgreek{'>I}
0x1f3d \textgreek{'<I}
0x1f3e \textgreek{\~{>I}}
0x1f3f \textgreek{\~{<I}}
0x1f40 \textgreek{>o}
0x1f41 \textgreek{<o}
0x1f42 \textgreek{`>o}
0x1f43 \textgreek{`<o}
0x1f44 \textgreek{'>o}
0x1f45 \textgreek{'<o}
0x1f48 \textgreek{>O}
0x1f49 \textgreek{<O}
0x1f4a \textgreek{`>O}
0x1f4b \textgreek{`<O}
0x1f4c \textgreek{'>O}
0x1f4d \textgreek{'<O}
0x1f50 \textgreek{>u}
0x1f51 \textgreek{<u}
0x1f52 \textgreek{`>u}
0x1f53 \textgreek{`<u}
0x1f54 \textgreek{'>u}
0x1f55 \textgreek{'<u}
0x1f56 \textgreek{\~{>u}}
0x1f57 \textgreek{\~{<u}}
0x1f59 \textgreek{<U}
0x1f5b \textgreek{`<U}
0x1f5d \textgreek{'<U}
0x1f5f \textgreek{\~{<U}}
0x1f60 \textgreek{>w}
0x1f61 \textgreek{<w}
0x1f62 \textgreek{`>w}
0x1f63 \textgreek{`<w}
0x1f64 \textgreek{'>w}
0x1f65 \textgreek{'<w}
0x1f66 \textgreek{\~{>w}}
0x1f67 \textgreek{\~{<w}}
0x1f68 \textgreek{>W}
0x1f69 \textgreek{<W}
0x1f6a \textgreek{`>W}
0x1f6b \textgreek{`<W}
0x1f6c \textgreek{'>W}
0x1f6d \textgreek{'<W}
0x1f6e \textgreek{\~{>W}}
0x1f6f \textgreek{\~{<W}}
0x1f70 \textgreek{`a}
0x1f71 \textgreek{'a}
0x1f72 \textgreek{`e}
0x1f73 \textgreek{'e}
0x1f74 \textgreek{`h}
0x1f75 \textgreek{'h}
0x1f76 \textgreek{`i}
0x1f77 \textgreek{'i}
0x1f78 \textgreek{`o}
0x1f79 \textgreek{'o}
0x1f7a \textgreek{`u}
0x1f7b \textgreek{'u}
0x1f7c \textgreek{`w}
0x1f7d \textgreek{'w}
0x1f80 \textgreek{>a|}
0x1f81 \textgreek{<a|}
0x1f82 \textgreek{`>a|}
0x1f83 \textgreek{`<a|}
0x1f84 \textgreek{'>a|}
0x1f85 \textgreek{'<a|}
0x1f86 \textgreek{\~{>a}|}
0x1f87 \textgreek{\~{<a}|}
0x1f88 \textgreek{>A|}
0x1f89 \textgreek{<A|}
0x1f8a \textgreek{`>A|}
0x1f8b \textgreek{`<A|}
0x1f8c \textgreek{'>A|}
0x1f8d \textgreek{'<A|}
0x1f8e \textgreek{\~{>A}|}
0x1f8f \textgreek{\~{<A}|}
0x1f90 \textgreek{>h|}
0x1f91 \textgreek{<h|}
0x1f92 \textgreek{`>h|}
0x1f93 \textgreek{`<h|}
0x1f94 \textgreek{'>h|}
0x1f95 \textgreek{'<h|}
0x1f96 \textgreek{\~{>h}|}
0x1f97 \textgreek{\~{<h}|}
0x1f98 \textgreek{>H|}
0x1f99 \textgreek{<H|}
0x1f9a \textgreek{`>H|}
0x1f9b \textgreek{`<H|}
0x1f9c \textgreek{'>H|}
0x1f9d \textgreek{'<H|}
0x1f9e \textgreek{\~{>H}|}
0x1f9f \textgreek{\~{<H}|}
0x1fa0 \textgreek{>w|}
0x1fa1 \textgreek{<w|}
0x1fa2 \textgreek{`>w|}
0x1fa3 \textgreek{`<w|}
0x1fa4 \textgreek{'>w|}
0x1fa5 \textgreek{'<w|}
0x1fa6 \textgreek{\~{>w}|}
0x1fa7 \textgreek{\~{<w}|}
0x1fa8 \textgreek{>W|}
0x1fa9 \textgreek{<W|}
0x1faa \textgreek{`>W|}
0x1fab \textgreek{`<W|}
0x1fac \textgreek{'>W|}
0x1fad \textgreek{'<W|}
0x1fae \textgreek{\~{>W}|}
0x1faf \textgreek{\~{<W}|}
0x1fb0 \textgreek{\u{a}}
0x1fb1 \textgreek{\={a}}
0x1fb2 \textgreek{`a|}
0x1fb3 \textgreek{a|}
0x1fb4 \textgreek{'a|}
0x1fb6 \textgreek{\~{a}}
0x1fb7 \textgreek{\~{a}|}
0x1fb8 \textgreek{\u{A}}
0x1fb9 \textgreek{\={A}}
0x1fba \textgreek{`A}
0x1fbb \textgreek{'A}
0x1fbc \textgreek{A|}
0x1fc2 \textgreek{`h|}
0x1fc3 \textgreek{h|}
0x1fc4 \textgreek{'h|}
0x1fc6 \textgreek{\~{h}}
0x1fc7 \textgreek{\~{h}|}
0x1fc8 \textgreek{`E}
0x1fc9 \textgreek{'E}
0x1fca \textgreek{`H}
0x1fcb \textgreek{'H}
0x1fcc \textgreek{H|}
0x1fd0 \textgreek{\u{i}}
0x1fd1 \textgreek{\={i}}
0x1fd2 \textgreek{`"i}
0x1fd3 \textgreek{"'i}
0x1fd6 \textgreek{\~{i}}
0x1fd7 \textgreek{\~{"i}}
0x1fd8 \textgreek{\u{I}}
0x1fd9 \textgreek{\={I}}
0x1fda \textgreek{`I}
0x1fdb \textgreek{'I}
0x1fe0 \textgreek{\u{u}}
0x1fe1 \textgreek{\={u}}
0x1fe2 \textgreek{`"u}
0x1fe3 \textgreek{"'u}
0x1fe4 \textgreek{>r}
0x1fe5 \textgreek{<r}
0x1fe6 \textgreek{\~{u}}
0x1fe7 \textgreek{\~{"u}}
0x1fe8 \textgreek{\u{U}}
0x1fe9 \textgreek{\={U}}
0x1fea \textgreek{`U}
0x1feb \textgreek{'Y}
0x1fec \textgreek{<R}
0x1ff2 \textgreek{`w|}
0x1ff3 \textgreek{w|}
0x1ff4 \textgreek{'w|}
0x1ff6 \textgreek{\~{w}}
0x1ff7 \textgreek{\~{w}|}
0x1ff8 \textgreek{`O}
0x1ff9 \textgreek{'O}
0x1ffa \textgreek{`W}
0x1ffb \textgreek{'W}
0x1ffc \textgreek{W|}
0x2000 \enskip
0x2001 \quad
0x2002 \enspace
0x2003 \quad
0x2004 \thickspace
0x2005 \medspace
0x2006 \hspace{0.166em}
0x2007 \hphantom{0}
0x2008 \hphantom{.}
0x2009 \thinspace
0x200a \ensuremath{\mkern1mu}
0x200b \hspace{0em}
0x2010 -
0x2011 \mbox{-}
0x2013 --
0x2014 ---
0x2015 ---
0x2016 \ensuremath{\Vert}
0x2018 \textquoteleft
0x2019 \textquoteright
0x201a \quotesinglbase
0x201c \textquotedblleft
0x201d \textquotedblright
0x201e \quotedblbase
0x2020 \dag
0x2021 \ddag
0x2022 \textbullet
0x2024 .
0x2025 ..
0x2026 \ldots
0x2027 \textperiodcentered
0x2028 \\
0x2029 \par
0x2030 \textperthousand
0x2031 \textpertenthousand
0x2032 \ensuremath{^{\prime}}
0x2033 \ensuremath{^{\prime\prime}}
0x2034 \ensuremath{^{\prime\prime\prime}}
0x2035 \ensuremath{^{\backprime}}
0x2036 \ensuremath{^{\backprime\backprime}}
0x2037 \ensuremath{^{\backprime\backprime\backprime}}
0x2039 \guilsinglleft
0x203a \guilsinglright
0x203b \textreferencemark
0x203d \textinterrobang
0x204e \ensuremath{\ast}
0x2057 \ensuremath{^{\prime\prime\prime\prime}}
0x205f \ensuremath{\mkern4mu}
0x2060 \nolinebreak
0x2070 \textsuperscript{0}
0x2071 \textsuperscript{i}
0x2074 \textsuperscript{4}
0x2075 \textsuperscript{5}
0x2076 \textsuperscript{6}
0x2077 \textsuperscript{7}
0x2078 \textsuperscript{8}
0x2079 \textsuperscript{9}
0x207a \textsuperscript{+}
0x207b \textsuperscript{-}
0x207c \textsuperscript{=}
0x207d \textsuperscript{(}
0x207e \textsuperscript{)}
0x207f \textsuperscript{n}
0x2080 \textsubscript{0}
0x2081 \textsubscript{1}
0x2082 \textsubscript{2}
0x2083 \textsubscript{3}
0x2084 \textsubscript{4}
0x2085 \textsubscript{5}
0x2086 \textsubscript{6}
0x2087 \textsubscript{7}
0x2088 \textsubscript{8}
0x2089 \textsubscript{9}
0x208a \textsubscript{+}
0x208b \textsubscript{-}
0x208c \textsubscript{=}
0x208d \textsubscript{(}
0x208e \textsubscript{)}
0x2090 \textsubscript{a}
0x2091 \textsubscript{e}
0x2092 \textsubscript{o}
0x2093 \textsubscript{x}
0x2094 \textsubscript{\textschwa}
0x2095 \textsubscript{h}
0x2096 \textsubscript{k}
0x2097 \textsubscript{l}
0x2098 \textsubscript{m}
0x2099 \textsubscript{n}
0x209a \textsubscript{p}
0x209b \textsubscript{s}
0x209c \textsubscript{t}
0x20a1 \textcolonmonetary
0x20a4 \textlira
0x20a6 \textnaira
0x20a9 \textwon
0x20ab \textdong
0x20ac \texteuro
0x20b1 \textpeso
0x20b2 \textguarani
